text,emoji
soap bubble clean wash,🧼
lotion bottle moisturize skincare,🧴
razor shave grooming blade,🪒
toothbrush dental hygiene teeth,🪥
soap clean wash hygiene,🧼
musical note song music,🎵
notes music melody,🎶
sheet music compose musical,🎼
musical keyboard piano synth,⌨️
drum percussion instrument,🥁
guitar string instrument,🎸
violin string instrument,🎻
trumpet brass instrument,🎺
saxophone wind instrument,🎷
flute wind instrument,🪈
bell percussion ring,🔔
microphone sing voice vocal,🎤
microphone boom podcast record,🎙️
control knobs adjust volume,🎚️
slide controls adjust volume,🎛️
camera photo picture image,📷
camera with flash photo bright,📸
video camera film movie,📹
movie clapper film production,🎬
television show screen watch,📺
radio hear broadcast audio,📻
pager bleep message,📟
telephone receiver vintage call,☎️
fax fax paper document,📠
minidisc disc storage media,💿
dvd disc storage media,📀
vhs tape vintage video,📼
sound increase volume loud,🔊
sound muted volume quiet,🔇
loud speaker address microphone,📢
megaphone announcement broadcast speak,📣
musical note single song,🎵
musical notes multiple songs,🎶
alarm clock wake morning,⏰
stopwatch time measure,⏱️
timer time measure,⏲️
hourglass time sand,⏳
clock face one oclock,🕐
clock face two oclock,🕑
clock face three oclock,🕒
clock face four oclock,🕓
clock face five oclock,🕔
clock face six oclock,🕕
clock face seven oclock,🕖
clock face eight oclock,🕗
clock face nine oclock,🕘
clock face ten oclock,🕙
clock face eleven oclock,🕚
clock face twelve oclock,🕛
sunrise morning dawn new day,🌅
sunset evening dusk end day,🌆
rainbow colorful spectrum weather,🌈
ocean wave water sea,🌊
volcano eruption fire mountain,🌋
mount fuji iconic mountain,🗻
camping tent outdoor camping,⛺
fire flames hot heat,🔥
flashlight light beam illuminate,🔦
lantern light glow camping,🏮
moon night stars sleep,🌙
star twinkle shine bright,⭐
sparkles shine glow bright,✨
zap lightning electric bolt,⚡
cloud weather sky gray,☁️
sunny bright warm clear,☀️
moon night darkness rest,🌙
umbrella rain protection weather,☔
snowman winter cold frozen,⛄
snowflake winter ice cold,❄️
comet asteroid space,☄️
rainbow colorful weather sunny,🌈
closed umbrella rain shield,🌂
umbrella on ground rain,☔
droplet water rain liquid,💧
sweat droplet liquid effort,💦
ocean wave water sea,🌊
green heart love nature,💚
blue heart love cold,💙
purple heart love spiritual,💜
yellow heart love happy,💛
orange heart love warm,🧡
red heart love passion,❤️
broken heart sad unhappy,💔
orange heart love warm,🧡
fire flames hot passion,🔥
star twinkle shine bright,⭐
sparkle shine glow bright,✨
diamond precious jewel valuable,💎
gem precious stone valuable,💎
pearl gem valuable precious,🔱
skull death danger skeleton,💀
coffin death funeral grave,⚰️
cross religion faith spiritual,✝️
star of david jewish religion,🔯
wheel of dharma buddhism,☸️
yin yang balance eastern,☯️
om symbol hinduism,🕉️
peace symbol peace love,☬
menorah jewish religion,🕎
torii shinto religion,⛩️
ophiuchus zodiac sign,⛎
aries zodiac sign,♈
taurus zodiac sign,♉
gemini zodiac sign,♊
cancer zodiac sign,♋
leo zodiac sign,♌
virgo zodiac sign,♍
libra zodiac sign,♎
scorpio zodiac sign,♏
sagittarius zodiac sign,♐
capricorn zodiac sign,♑
aquarius zodiac sign,♒
pisces zodiac sign,♓
id badge identification card,🏷️
copyright symbol property rights,©️
registered trademark symbol,®️
trade mark symbol,™️
label sticker badge tag,🔖
heavy large plus symbol,➕
heavy large minus symbol,➖
heavy large division symbol,➗
heavy large multiplication symbol,✖️
heavy large equals symbol,🟰
heavy large less than symbol,<
heavy large greater than symbol,>
question mark inquire ask help,❓
white question mark,❔
exclamation mark emphasize point,❗
white exclamation mark,❕
wavy dash squiggle punctuation,〰️
copyright symbol property,©️
registered trade mark symbol,®️
trade mark registered,™️
Hello,👋
Good morning,🌅😊
Thank you,🙏❤️
Please help me,🆘🙏
I need water,💧🙏
I am hungry,😋🍔
I want food,🍔😋
I need medicine,💊🙏
I need hospital,🏥🙏
I am in pain,😣
I am tired,😴
I want to go home,🏠➡️
Yes,👍
No,👎
I am okay,👌😊
Call my family,📞👨‍👩‍👧‍👦
